Event_ID,Outcome,week_before_event,article_count,certainty_score_mean,certainty_score_sum,relevance_score_max,relevance_score_mean,relevance_score_min,relevance_score_std,rhetoric_score_max,rhetoric_score_mean,rhetoric_score_sum,sentiment_compound_max,sentiment_compound_mean,sentiment_compound_min,sentiment_compound_std
SAS_2020_INDOCHINA_NOCONFLICT,No Conflict,-2,32,0.59375,19.0,5.0,1.3125,0.0,0.9979818344716921,5.0,1.03125,33.0,0.8402,-0.149175,-0.969,0.5770148200701999
SAS_2020_INDOCHINA_NOCONFLICT,No Conflict,-1,24,0.4583333333333333,11.0,2.0,1.0,0.0,0.5897678246195885,10.0,1.875,45.0,0.8689,-0.3766666666666667,-0.9806,0.7236831030383316
SAS_2019_PULWAMA_NOCONFLICT,No Conflict,-12,8,0.5,4.0,1.0,0.25,0.0,0.4629100498862757,1.0,0.25,2.0,0.8225,0.21782500000000002,-0.6808,0.6061542183541837
SAS_2019_PULWAMA_NOCONFLICT,No Conflict,-11,16,0.4375,7.0,1.0,0.5625,0.0,0.5123475382979799,5.0,0.5,8.0,0.9372,-0.13284375,-0.9664,0.7547109477309839
SAS_2019_PULWAMA_NOCONFLICT,No Conflict,-10,16,0.3125,5.0,2.0,0.5,0.0,0.6324555320336759,3.0,0.4375,7.0,0.9153,0.02256875,-0.9648,0.7197575255771904
SAS_2019_PULWAMA_NOCONFLICT,No Conflict,-9,10,0.5,5.0,1.0,0.6,0.0,0.5163977794943222,8.0,1.6,16.0,0.9602,0.03016000000000001,-0.9217,0.7237606467457164
SAS_2019_PULWAMA_NOCONFLICT,No Conflict,-8,26,0.5384615384615384,14.0,2.0,0.6153846153846154,0.0,0.6373020054525533,5.0,0.6923076923076923,18.0,0.9493,0.005030769230769226,-0.9809,0.7546610390204231
SAS_2019_PULWAMA_NOCONFLICT,No Conflict,-7,24,0.6666666666666666,16.0,2.0,0.5416666666666666,0.0,0.5882299658752717,6.0,0.7083333333333334,17.0,0.9571,0.169925,-0.9136,0.6645343412135853
SAS_2019_PULWAMA_NOCONFLICT,No Conflict,-6,11,0.36363636363636365,4.0,2.0,0.6363636363636364,0.0,0.674199862463242,10.0,1.0909090909090908,12.0,0.9538,0.002645454545454552,-0.9849,0.8283686043828995
SAS_2019_PULWAMA_NOCONFLICT,No Conflict,-5,16,0.1875,3.0,1.0,0.375,0.0,0.5,6.0,0.6875,11.0,0.9038,-0.14314375,-0.9485,0.7040219096673531
SAS_2019_PULWAMA_NOCONFLICT,No Conflict,-4,15,0.6,9.0,2.0,0.4,0.0,0.6324555320336759,4.0,0.7333333333333333,11.0,0.9666,0.12324666666666667,-0.9186,0.6730358617771383
SAS_2019_PULWAMA_NOCONFLICT,No Conflict,-3,23,0.13043478260869565,3.0,2.0,0.4782608695652174,0.0,0.6653478391304605,5.0,0.5217391304347826,12.0,0.9666,-0.09156521739130434,-0.9277,0.7243634795828402
SAS_2019_PULWAMA_NOCONFLICT,No Conflict,-2,14,0.5,7.0,1.0,0.42857142857142855,0.0,0.5135525910130955,0.0,0.0,0.0,0.8779,-0.05085714285714287,-0.9724,0.7653765254528556
SAS_2019_PULWAMA_NOCONFLICT,No Conflict,-1,17,0.7058823529411765,12.0,3.0,0.7647058823529411,0.0,1.0325582165612919,11.0,2.235294117647059,38.0,0.9772,-0.4065529411764706,-0.986,0.6468893482637188
AFR_2011_LIBYA_CONFLICT,Conflict,-11,7,0.42857142857142855,3.0,2.0,0.2857142857142857,0.0,0.7559289460184545,6.0,1.0,7.0,0.9068,0.4194,-0.2023,0.36126940547648556
AFR_2011_LIBYA_CONFLICT,Conflict,-10,11,0.0,0.0,2.0,0.6363636363636364,0.0,0.8090398349558905,5.0,0.7272727272727273,8.0,0.8506,-0.005736363636363631,-0.9571,0.7232411233782648
AFR_2011_LIBYA_CONFLICT,Conflict,-9,20,0.25,5.0,2.0,1.0,0.0,0.7947194142390264,6.0,1.25,25.0,0.7925,-0.34103,-0.9674,0.645030739455187
AFR_2011_LIBYA_CONFLICT,Conflict,-8,2,0.0,0.0,3.0,1.5,0.0,2.1213203435596424,0.0,0.0,0.0,0.9081,0.7839,0.6597,0.17564532444673842
AFR_2011_LIBYA_CONFLICT,Conflict,-7,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2263,0.22035,0.2144,0.008414570696119922
AFR_2011_LIBYA_CONFLICT,Conflict,-5,1,1.0,1.0,0.0,0.0,0.0,,1.0,1.0,1.0,-0.5106,-0.5106,-0.5106,
AFR_2011_LIBYA_CONFLICT,Conflict,-4,5,0.0,0.0,2.0,0.6,0.0,0.8944271909999159,3.0,0.8,4.0,0.6908,-0.13090000000000004,-0.93,0.7774252439945593
AFR_2011_LIBYA_CONFLICT,Conflict,-3,4,0.75,3.0,2.0,0.5,0.0,1.0,4.0,1.25,5.0,0.1796,-0.6667000000000001,-0.9616,0.5644903187832365
AFR_2011_LIBYA_CONFLICT,Conflict,-2,5,0.2,1.0,0.0,0.0,0.0,0.0,2.0,0.8,4.0,-0.1563,-0.55604,-0.8591,0.3050305935475981
AFR_2011_LIBYA_CONFLICT,Conflict,-1,7,0.14285714285714285,1.0,1.0,0.2857142857142857,0.0,0.4879500364742666,6.0,1.1428571428571428,8.0,0.8957,0.06865714285714287,-0.8068,0.6410196483133801
EAS_2017_KOREA_NOCONFLICT,No Conflict,-12,40,0.4,16.0,2.0,0.375,0.0,0.5400617248673217,3.0,0.5,20.0,0.9641,-0.034440000000000005,-0.9805,0.7634869803265836
EAS_2017_KOREA_NOCONFLICT,No Conflict,-11,30,0.6333333333333333,19.0,1.0,0.4666666666666667,0.0,0.5074162634049248,5.0,0.8333333333333334,25.0,0.9517,-0.052306666666666654,-0.9715,0.7575868958618605
EAS_2017_KOREA_NOCONFLICT,No Conflict,-10,40,0.725,29.0,2.0,0.525,0.0,0.5986094998689324,5.0,0.6,24.0,0.9612,0.06895,-0.9808,0.7169978643175289
EAS_2017_KOREA_NOCONFLICT,No Conflict,-9,48,0.16666666666666666,8.0,2.0,0.7291666666666666,0.0,0.6437781874294353,8.0,1.0625,51.0,0.9733,-0.2514104166666667,-0.9846,0.6802381085746884
EAS_2017_KOREA_NOCONFLICT,No Conflict,-8,41,0.4878048780487805,20.0,2.0,0.4878048780487805,0.0,0.5532608435228448,5.0,0.7317073170731707,30.0,0.9468,-0.07574390243902439,-0.9738,0.6759485306030263
EAS_2017_KOREA_NOCONFLICT,No Conflict,-7,43,0.046511627906976744,2.0,4.0,0.6976744186046512,0.0,0.7725925347854465,5.0,0.627906976744186,27.0,0.9694,-0.07403720930232559,-0.9858,0.7579914781601803
EAS_2017_KOREA_NOCONFLICT,No Conflict,-6,40,0.475,19.0,1.0,0.45,0.0,0.5038314736557788,6.0,0.875,35.0,0.9325,-0.3900675,-0.9875,0.69010417102448
EAS_2017_KOREA_NOCONFLICT,No Conflict,-5,22,0.6818181818181818,15.0,1.0,0.45454545454545453,0.0,0.5096471914376255,3.0,0.5909090909090909,13.0,0.966,0.19869090909090908,-0.9633,0.7253377163573964
EAS_2017_KOREA_NOCONFLICT,No Conflict,-4,42,0.2857142857142857,12.0,2.0,0.3333333333333333,0.0,0.570265948512201,7.0,1.1428571428571428,48.0,0.9287,-0.17871428571428571,-0.9847,0.6670133437694861
EAS_2017_KOREA_NOCONFLICT,No Conflict,-3,34,0.4117647058823529,14.0,2.0,0.7058823529411765,0.0,0.6290643251160328,5.0,0.7647058823529411,26.0,0.9758,-0.21888235294117644,-0.9501,0.6469568246896216
EAS_2017_KOREA_NOCONFLICT,No Conflict,-2,34,0.38235294117647056,13.0,2.0,0.38235294117647056,0.0,0.603761235285532,9.0,1.2058823529411764,41.0,0.9788,0.009255882352941183,-0.9861,0.745008142803243
EAS_2017_KOREA_NOCONFLICT,No Conflict,-1,29,0.7586206896551724,22.0,2.0,0.3448275862068966,0.0,0.5526470114022356,5.0,0.3448275862068966,10.0,0.9694,-0.1654655172413793,-0.9843,0.6557485729388437
